"","ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"495","D845106D2102A4C6","docked_bike","2021-05-05 00:04:13","2021-05-05 00:19:21","Central Park West & W 85 St",7354.01,"2 Ave & E 72 St",6925.09,40.78476,-73.969862,40.7687620293096,-73.9584079384804,"casual"
"365","DC216F8AE6038EA1","docked_bike","2021-05-05 07:34:30","2021-05-05 07:59:09","Menahan St & Central Ave",4672.01,"5 St & 6 Ave",3874.01,40.69543,-73.9196,40.6704836,-73.98208968,"member"
"360","6CF76BDCC3508018","docked_bike","2021-05-05 07:59:49","2021-05-05 08:15:36","Kingston Ave & Herkimer St",4205.06,"Clinton Ave & Myrtle Ave",4651.02,40.678906,-73.941427,40.693261,-73.968896,"member"
"154","0CF5309F644D14B9","docked_bike","2021-05-05 10:13:26","2021-05-05 13:06:19","Lincoln Ave & E 134 St",7712.06,"Alexander Ave & E 134 St",7712.04,40.808484,-73.928803,40.807466,-73.927107,"member"
"96","B5AC436A566989C7","docked_bike","2021-05-05 10:32:44","2021-05-05 11:00:59","Washington St & Barrow St",5847.08,"E 32 St & Park Ave",6280.12,40.731911,-74.008769,40.7457121,-73.98194829,"member"
"427","5B42D59B397B9A22","docked_bike","2021-05-05 13:48:43","2021-05-05 13:56:17","9 Ave & W 18 St",6190.08,"Christopher St & Greenwich St",5847.01,40.743174,-74.003664,40.73291553,-74.00711384,"casual"
"132","937169D123DC77D3","docked_bike","2021-05-05 16:48:51","2021-05-05 17:10:55","Pike St & E Broadway",5270.05,"Stanton St & Chrystie St",5523.02,40.714066,-73.992939,40.72229346,-73.99147535,"casual"
"170","A1A1F0500982F09A","docked_bike","2021-05-05 16:52:54","2021-05-05 16:57:13","Concord St & Bridge St",4781.03,"Jay St & Tech Pl",4710.06,40.697665,-73.984764,40.695065,-73.987167,"member"
"47","F4BCA6F4381BB205","docked_bike","2021-05-05 17:35:30","2021-05-05 17:41:15","E 11 St & Avenue B",5659.11,"E 5 St & Cooper Sq",5712.12,40.727464,-73.979504,40.72769,-73.990993,"member"
"160","462D9092108378DB","docked_bike","2021-05-05 18:28:33","2021-05-05 18:29:30","Kent St & McGuinness Blvd",5785.1,"Kent St & McGuinness Blvd",5785.1,40.73124,-73.95161,40.73124,-73.95161,"member"
